,CID,SMILES,f_avg_pIC50,hbd,hba,mv,pow,ECFP,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,LUO-POS-e1dab717-11,CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,6.560480614,1,5,498.992,2.7033,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D660>,14.10160801,-3.985875593,14.10160801,0.012678886,0.595885677,498.992,475.808,498.1128539,176,0,0.243399052,-0.355234336,0.355234336,0.243399052,1.205882353,2,2.794117647,35.4956925,9.780914504,2.559091038,-2.393107242,2.467028353,-2.546987924,7.888872296,-0.12426433,1.634036941,1422.245089,24.08721119,18.49253304,20.06495857,16.27485935,10.99361162,12.81163942,8.535745833,10.87853848,6.569884795,8.65482577,4.977078314,6.877122101,-3.01,55597996.43,22.7659943,8.334997178,3.462511419,202.1192424,10.21669833,0,0,21.83765061,0,0,14.57305289,8.417796984,4.305215991,0,35.86640816,37.10711152,41.62619453,28.7394602,18.00687135,49.89842521,0,14.60598312,0,23.65503277,31.07893535,65.44434143,0,0,10.21669833,5.687386275,0,11.60093989,55.70037658,25.02735599,0,18.90801031,59.7537401,5.022633314,10.77244843,0,99.68,21.34546135,18.00687135,0,23.89217602,35.78380551,15.07766442,12.13273414,30.28370114,24.26546827,10.30076712,11.60093989,27.90064217,6.265128748,32.43097944,4.77934074,-0.102091923,-0.648922785,12.15817144,3.77724779,2.036491091,-3.985875593,0.291666667,34,1,8,0,2,2,2,1,3,5,1,10,4,0,1,1,5,2.7033,129.2855,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,LUO-POS-e1dab717-12,O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,6.693003172,1,5,525.03,3.0934,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D820>,14.19918377,-3.990499317,14.19918377,0.027210779,0.552656918,525.03,499.83,524.128504,186,0,0.243399052,-0.354677983,0.354677983,0.243399052,1.166666667,1.972222222,2.777777778,35.4956926,9.780910173,2.559636739,-2.393306359,2.4677574,-2.547775739,7.888874815,-0.124328781,1.405786309,1501.569951,25.07877502,19.48409687,21.0565224,17.29249744,12.01124971,13.82927751,9.82969226,12.17248491,7.480768732,9.565709707,5.360057824,7.26010161,-3.01,267083363.7,23.39226141,8.53688967,3.769455406,213.8432955,10.21669833,0,0,21.83765061,0,0,14.57305289,8.417796984,4.305215991,0,35.86640816,48.94292361,41.62619453,28.7394602,18.00687135,49.89842521,0,14.60598312,5.917906046,29.57293881,31.07893535,65.44434143,0,0,10.21669833,5.687386275,0,11.60093989,55.70037658,25.02735599,5.917906046,24.82591636,59.7537401,5.022633314,10.77244843,0,99.68,15.43828162,18.00687135,0,29.79935575,41.70171156,27.91930767,12.13273414,23.35996394,24.26546827,10.30076712,11.60093989,28.23200712,6.300659101,32.90949133,4.99848674,-0.078459853,-0.109770222,12.23787179,5.956451488,0.488206265,-3.990499317,0.346153846,36,1,8,1,2,3,2,1,3,5,1,10,5,1,1,2,6,3.0934,136.3355,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,MAT-POS-e48723dc-1,CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,4.256067535,1,4,474.948,3.2973,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D890>,14.25603608,-0.977480277,14.25603608,0.097799666,0.631099167,474.948,451.764,474.1458683,172,0,0.254613605,-0.357131336,0.357131336,0.254613605,1.088235294,1.882352941,2.647058824,35.4956921,9.725764091,2.626226764,-2.432270308,2.507340316,-2.601619469,6.306081942,-0.128896202,1.494344424,1380.223299,23.66456146,18.67603646,19.43196541,16.40948649,11.40158315,11.77954762,9.360570296,9.797006076,7.645487552,7.880584655,5.699076975,5.871179999,-3.45,114030368.3,21.10799462,7.272421707,2.763580935,201.2440417,15.11660807,5.538925252,0,11.81435946,5.907179729,0,19.36759007,0,0,0,35.86640816,43.02501757,47.6925616,17.29922032,14.38361155,45.78231378,0,15.20067686,0,30.21638059,25.03709453,71.00779292,0,0,10.21669833,5.687386275,0,11.60093989,53.28153749,15.00406484,0,35.18390504,54.85825662,5.022633314,10.77244843,0,82.61,10.95391572,14.38361155,0,24.26629559,41.95675757,16.4598347,0,47.44027979,24.26546827,10.30076712,11.60093989,0,6.352837734,48.38942358,5.082099228,-0.036396392,-0.50943095,12.93450767,5.183897433,0.634526329,1.579646482,0.307692308,34,1,7,1,2,3,2,1,3,4,1,8,3,1,1,2,6,3.2973,128.9112,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,MAT-POS-e48723dc-2,CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,7.301029989,1,4,474.948,3.2973,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D900>,14.25603608,-0.977480277,14.25603608,0.097799666,0.631099167,474.948,451.764,474.1458683,172,0,0.254613605,-0.357131336,0.357131336,0.254613605,1.088235294,1.882352941,2.647058824,35.4956921,9.725764091,2.626226764,-2.432270308,2.507340316,-2.601619469,6.306081942,-0.128896202,1.494344424,1380.223299,23.66456146,18.67603646,19.43196541,16.40948649,11.40158315,11.77954762,9.360570296,9.797006076,7.645487552,7.880584655,5.699076975,5.871179999,-3.45,114030368.3,21.10799462,7.272421707,2.763580935,201.2440417,15.11660807,5.538925252,0,11.81435946,5.907179729,0,19.36759007,0,0,0,35.86640816,43.02501757,47.6925616,17.29922032,14.38361155,45.78231378,0,15.20067686,0,30.21638059,25.03709453,71.00779292,0,0,10.21669833,5.687386275,0,11.60093989,53.28153749,15.00406484,0,35.18390504,54.85825662,5.022633314,10.77244843,0,82.61,10.95391572,14.38361155,0,24.26629559,41.95675757,16.4598347,0,47.44027979,24.26546827,10.30076712,11.60093989,0,6.352837734,48.38942358,5.082099228,-0.036396392,-0.50943095,12.93450767,5.183897433,0.634526329,1.579646482,0.307692308,34,1,7,1,2,3,2,1,3,4,1,8,3,1,1,2,6,3.2973,128.9112,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,LUO-POS-9931618f-2,CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,7.277722832,1,4,448.91,2.7647,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D970>,14.02460184,-0.973105277,14.02460184,0.108876053,0.667542943,448.91,427.742,448.1302182,162,0,0.254184037,-0.357635731,0.357635731,0.254184037,1.1875,2,2.8125,35.49569199,9.731694716,2.540685062,-2.397186366,2.446019314,-2.548755031,6.305865917,-0.124714401,1.622131819,1271.838952,22.45745468,17.46892968,18.22485862,15.44152602,10.39065072,10.7686152,8.192955212,8.629390993,6.4435935,6.678690602,4.843688971,5.015791995,-3.45,26189894.97,20.45254388,7.599907985,3.036528747,189.5199886,15.11660807,0,0,11.81435946,5.907179729,0,19.36759007,0,0,0,35.86640816,30.18337432,47.6925616,23.84397672,14.38361155,45.78231378,0,15.20067686,0,11.83581209,31.58185093,71.00779292,0,0,10.21669833,5.687386275,0,11.60093989,54.28736864,15.00406484,0,22.34226179,54.85825662,5.022633314,10.77244843,0,82.61,5.414990469,14.38361155,0,30.811052,29.11511433,16.4598347,11.94758171,35.49269808,24.26546827,10.30076712,11.60093989,0,6.284459605,46.75303642,4.904569847,0.807408234,-0.676838357,12.79839877,3.975127055,0.490928054,1.524021482,0.25,32,1,7,0,2,2,2,1,3,4,1,8,3,0,1,1,5,2.7647,121.8132,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,EDJ-MED-b6c6ee2b-2,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,6.814514694,1,5,464.953,3.1331,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807D9E0>,14.15245008,-0.770301398,14.15245008,0.004391849,0.641737385,464.953,439.753,464.1615183,170,0,0.23859446,-0.496743718,0.496743718,0.23859446,1.242424242,2.090909091,2.878787879,35.49569205,9.734364421,2.521994461,-2.401868422,2.448946622,-2.520072125,6.303444776,-0.125813263,1.589568216,1263.630651,23.16456146,18.59868619,19.35461514,15.94585732,10.90575698,11.28372145,8.654396094,9.090831874,6.775385947,7.01048305,5.155149671,5.327252695,-3.16,41753929.13,21.67347864,8.317709191,3.612132148,196.8369539,14.95356129,5.749511833,0,11.81435946,0,0,19.47296262,0,0,0,17.66730696,47.87955995,48.67386651,30.95377426,14.32593732,39.87513405,0,15.20067686,0,18.3805685,38.69164847,64.94142585,0,5.749511833,14.95356129,5.687386275,5.749511833,11.60093989,55.48998645,21.54882124,0,17.54772461,48.79188955,5.022633314,10.77244843,0,74.77,5.414990469,9.589074368,0,18.35911586,31.07772415,33.33624952,0,26.55115667,46.19802187,10.30076712,16.33780284,5.41484977,6.367536581,34.53706525,5.147066853,1.983566986,0.65538275,11.49827019,4.154606257,1.851000007,3.251766473,0.32,33,1,7,0,2,2,2,1,3,5,1,8,4,0,1,1,5,3.1331,127.7387,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,EDJ-MED-b6c6ee2b-3,COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,6.667793726,0,6,537.041,4.02068,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807DA50>,14.33121603,-3.777897657,14.33121603,0.014913942,0.487639487,537.041,511.841,536.128504,190,0,0.23863495,-0.496743718,0.496743718,0.23863495,1.162162162,1.972972973,2.702702703,35.49569265,9.742186311,2.555375333,-2.400201167,2.489528594,-2.525919742,7.88663646,-0.122101209,1.43398842,1597.679304,26.00142475,20.27660993,21.84903546,17.70020426,12.1207013,14.10783108,10.25247651,12.65781377,7.977637058,10.17510601,5.706064808,7.865139803,-3.19,362955179.2,24.16408452,8.415423604,3.861359474,220.0029782,9.636772685,5.749511833,0,15.93047088,0,0,9.778515705,8.417796984,9.567107546,0,17.66730696,60.72120319,41.62619453,41.64608325,17.94919712,43.99124548,5.261891555,9.289194512,5.414990469,31.22221174,30.85207369,64.94142585,0,11.81873315,9.636772685,5.687386275,5.749511833,11.60093989,49.56633519,26.77757521,16.74610334,30.38936785,48.79188955,5.022633314,10.77244843,0,103.6,20.85327209,18.47422572,0,24.74954615,42.2667527,21.89935141,4.305215991,42.60249562,18.19910121,11.05319983,16.33780284,33.84311229,6.374676422,20.3902857,11.71347929,0.282465716,0.25907553,13.1256041,4.991505754,0.567698251,-2.186791938,0.37037037,37,0,8,1,2,3,2,1,3,6,0,10,5,1,1,2,6,4.02068,139.8718,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7,EDJ-MED-5cd3920d-5,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,6.808685377,0,4,532.012,4.7536,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807DAC0>,14.1924007,-4.042774646,14.1924007,0.026792487,0.476081636,532.012,507.82,531.1194967,188,0,0.244712982,-0.309445468,0.309445468,0.244712982,1.083333333,1.861111111,2.611111111,35.49569263,9.742189006,2.576056155,-2.402160066,2.526956724,-2.528301503,7.886552339,-0.122107338,1.418268952,1489.537631,25.29431797,19.33177753,20.90420305,17.15106811,11.84914938,13.83627916,10.1574815,12.56281876,7.953545349,10.1733434,5.713060026,7.961790966,-2.62,215936569.9,23.75910519,8.193924955,3.625331943,212.462982,4.899909731,0,0,22.35591563,0,0,9.778515705,17.19862708,4.305215991,0,41.93277523,42.52210199,47.041185,23.05207392,21.99316426,43.99124548,0,9.289194512,5.414990469,37.64765649,23.74227615,71.00779292,0,0,4.899909731,14.46821637,0,11.60093989,48.88198239,26.77757521,5.414990469,30.38936785,54.85825662,5.022633314,10.77244843,0,70.58,33.03157044,21.99316426,0,31.83833579,34.8025006,10.77244843,4.305215991,35.49269808,24.26546827,4.983978521,11.60093989,55.31436636,6.323932804,20.16620856,2.218546432,-0.607324178,-0.846285496,12.77051543,1.435094529,0.295497989,-4.042774646,0.384615385,36,0,6,1,2,3,2,1,3,4,0,10,5,1,1,2,6,4.7536,133.7108,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
8,EDJ-MED-5cd3920d-6,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,6.805043772,0,4,550.002,5.0508,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807DB30>,14.18342951,-4.596905498,14.18342951,0.103545759,0.456516883,550.002,526.818,549.1100749,194,0,0.395035503,-0.309445468,0.395035503,0.309445468,1.054054054,1.810810811,2.540540541,35.4956927,9.742188757,2.655754213,-2.403127835,2.585306554,-2.531201564,7.886569367,-0.179717681,1.413918785,1535.549206,26.2169677,19.63239173,21.20481726,17.45769244,11.94098517,13.92811495,10.27250172,12.67783898,8.042133409,10.23960236,5.773375581,8.031564271,-2.69,282551948.5,24.63564265,8.152469472,3.832156758,216.6285174,4.899909731,0,0,15.93047088,0,6.176298517,9.778515705,8.417796984,17.47646113,0,41.93277523,42.52210199,41.62619453,28.46706439,26.38357931,43.99124548,0,9.289194512,5.414990469,37.39851026,23.74227615,71.00779292,0,0,4.899909731,18.85863142,0,11.60093989,48.63283616,26.77757521,5.414990469,30.38936785,54.85825662,5.022633314,10.77244843,0,70.58,32.78242422,26.38357931,0,31.83833579,34.8025006,15.07766442,0,35.49269808,24.26546827,4.983978521,11.60093989,68.77945417,6.297615336,20.06925907,2.08684875,-1.665912049,-1.320163453,12.45839701,-1.411005047,-0.029149697,-4.320899646,0.384615385,37,0,6,1,2,3,2,1,3,4,0,11,4,1,1,2,6,5.0508,133.7618,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9,MAT-POS-50a80394-1,CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,6.972477092,0,5,521.042,4.25808,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025B9807DBA0>,14.41841408,-3.775783906,14.41841408,0.026665486,0.512076407,521.042,495.842,520.1335893,184,0,0.238919051,-0.309167634,0.309167634,0.238919051,1.194444444,1.972222222,2.722222222,35.49569259,9.689595063,2.587723457,-2.42097526,2.503243853,-2.54605986,7.886637029,-0.122934096,1.470034721,1557.477235,25.29431797,19.8159554,21.38838092,17.18907291,12.01836556,14.00549534,10.38580689,12.79114416,8.130260958,10.32772991,5.879276127,8.021599628,-2.99,227714251.6,23.41106299,8.005081243,3.447086914,214.889433,4.899909731,0,0,15.93047088,0,0,9.778515705,8.417796984,9.567107546,0,48.85651243,42.01918641,41.62619453,34.5362857,13.21233417,43.99124548,5.261891555,9.289194512,11.33289652,31.72512732,23.74227615,71.00779292,0,6.069221313,4.899909731,5.687386275,0,11.60093989,42.45653764,26.77757521,22.66400938,30.89228343,54.85825662,5.022633314,10.77244843,0,94.37,20.85327209,18.47422572,0,30.66745219,30.09641924,21.89935141,4.305215991,23.35996394,43.32193961,11.05319983,11.60093989,28.55739273,6.402899522,20.53469322,11.88651372,0.376262557,-0.557683413,15.34767297,4.646470735,2.60933965,-3.775783906,0.37037037,36,0,7,1,2,3,2,1,3,5,0,9,4,1,1,2,6,4.25808,137.8668,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
